recipe_id,name,cuisine,ingredients,instructions
1,Chicken Curry,Indian,"chicken,onion,spices",Cook slowly for 30 minutes
2,Pasta Carbonara,Italian,"pasta,egg,cheese",Boil pasta and mix ingredients
3,Beef Stew,British,"beef,potato,carrot",Cook for 2 hours
4,Vegetable Stir Fry,Chinese,"vegetables,soy sauce",Stir fry on high heat
5,Tomato Soup,American,"tomato,onion,cream",Blend and simmer
6,Recipe 6,French,"beans,corn,tomato",Cook slowly for 30 minutes
7,Recipe 7,Japanese,"chicken,onion,spices",Boil and mix ingredients
8,Recipe 8,Thai,"beef,potato,carrot",Simmer for 45 minutes
9,Recipe 9,Mediterranean,"pasta,cheese,cream",Stir fry on high heat
10,Recipe 10,Indian,"rice,vegetables,soy sauce",Bake until golden
11,Recipe 11,Italian,"tomato,onion,garlic",Blend and simmer
12,Recipe 12,British,"fish,lemon,herbs",Cook slowly for 30 minutes
13,Recipe 13,Chinese,"beans,corn,tomato",Boil and mix ingredients
14,Recipe 14,American,"chicken,onion,spices",Simmer for 45 minutes
15,Recipe 15,Mexican,"beef,potato,carrot",Stir fry on high heat
16,Recipe 16,French,"pasta,cheese,cream",Bake until golden
17,Recipe 17,Japanese,"rice,vegetables,soy sauce",Blend and simmer
18,Recipe 18,Thai,"tomato,onion,garlic",Cook slowly for 30 minutes
19,Recipe 19,Mediterranean,"fish,lemon,herbs",Boil and mix ingredients
20,Recipe 20,Indian,"beans,corn,tomato",Simmer for 45 minutes
21,Recipe 21,Italian,"chicken,onion,spices",Stir fry on high heat
22,Recipe 22,British,"beef,potato,carrot",Bake until golden
23,Recipe 23,Chinese,"pasta,cheese,cream",Blend and simmer
24,Recipe 24,American,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
25,Recipe 25,Mexican,"tomato,onion,garlic",Boil and mix ingredients
26,Recipe 26,French,"fish,lemon,herbs",Simmer for 45 minutes
27,Recipe 27,Japanese,"beans,corn,tomato",Stir fry on high heat
28,Recipe 28,Thai,"chicken,onion,spices",Bake until golden
